期刊名称	IF	JCR分区	Category	ISSN	eISSN	中科院分区
BEST PRACTICE & RESEARCH IN CLINICAL RHEUMATOLOGY	4.8	Q1	RHEUMATOLOGY(SCIE)	1521-6942	1521-1770	2
Biocatalysis and Agricultural Biotechnology	3.8	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(ESCI)	N/A	1878-8181	3
BIOCHEMICAL JOURNAL	4.3	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	0264-6021	1470-8728	3
BIOCHEMICAL PHARMACOLOGY	5.6	Q1	PHARMACOLOGY & PHARMACY(SCIE)	0006-2952	1873-2968	2
BIOCHEMICAL SOCIETY TRANSACTIONS	4.3	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	0300-5127	1470-8752	2
Biochemistry Research International	3.4	Q2	BIOCHEMICAL RESEARCH METHODS(ESCI)	2090-2247	2090-2255	3
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH	3.7	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	0167-4889	1879-2596	3
BioChip Journal	6.1	Q1	BIOCHEMICAL RESEARCH METHODS(SCIE);CHEMISTRY, ANALYTICAL(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)	1976-0280	2092-7843	2
BioData Mining	6.1	Q1	MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE)	1756-0381	1756-0381	3
Biodiversity Informatics	5.2	Q1	BIODIVERSITY CONSERVATION(ESCI)	N/A	1546-9735	3
BIODRUGS	6.9	Q1	IMMUNOLOGY(SCIE);ONCOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	1173-8804	1179-190X	2
BIOFACTORS	5	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);ENDOCRINOLOGY & METABOLISM(SCIE)	0951-6433	1872-8081	3
Biofilm	4.9	Q1	MICROBIOLOGY(ESCI)	2590-2075	2590-2075	2
BIOINFORMATICS	5.4	Q1	BIOCHEMICAL RESEARCH METHODS(SCIE);BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE)	1367-4803	1367-4811	3
BIOLOGICAL PROCEDURES ONLINE	4.3	Q1	BIOCHEMICAL RESEARCH METHODS(SCIE)	N/A	1480-9222	3
Biological Psychiatry	9	Q1	NEUROSCIENCES(SCIE);PSYCHIATRY(SCIE)	0006-3223	1873-2402	1
Biological Psychiatry-Cognitive Neuroscience and Neuroimaging	4.8	Q1	NEUROSCIENCES(SCIE);PSYCHIATRY(SCIE)	2451-9022	2451-9030	2
Biological Psychiatry: Global Open Science	3.7	Q1	NEUROSCIENCES(ESCI);PSYCHIATRY(ESCI)	2667-1743	2667-1743	2
BIOLOGICAL RESEARCH	4.6	Q1	BIOLOGY(SCIE)	0716-9760	0717-6287	2
BIOLOGICAL REVIEWS	11.7	Q1	BIOLOGY(SCIE)	1464-7931	1469-185X	1
BIOLOGICAL TRACE ELEMENT RESEARCH	3.6	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);ENDOCRINOLOGY & METABOLISM(SCIE)	0163-4984	1559-0720	3
Biologics-Targets & Therapy	3.4	Q2	MEDICINE, RESEARCH & EXPERIMENTAL(ESCI)	1177-5475	1177-5491	3
Biology-Basel	3.5	Q1	BIOLOGY(SCIE)	N/A	2079-7737	2
Biology Direct	4.9	Q1	BIOLOGY(SCIE)	N/A	1745-6150	2
Biology of Sex Differences	5.1	Q1	ENDOCRINOLOGY & METABOLISM(SCIE);GENETICS & HEREDITY(SCIE)	N/A	2042-6410	2
BIOLOGY OF SPORT	5	Q1	SPORT SCIENCES(SCIE)	0860-021X	2083-1862	2
Biomarker Research	11.5	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);ONCOLOGY(SCIE)	N/A	2050-7771	2
Biomedical Journal	4.4	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	2319-4170	2320-2890	3
BIOMEDICINE & PHARMACOTHERAPY	7.5	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	0753-3322	1950-6007	2
Biomedicines	3.9	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	N/A	2227-9059	3
BIOMETALS	3.6	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	0966-0844	1572-8773	3
Biomolecules	4.8	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	N/A	2218-273X	2
Bioresources and Bioprocessing	5.1	Q1	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	N/A	2197-4365	3
BIOSCIENCE REPORTS	4.7	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	0144-8463	1573-4935	3
BioScience Trends	5	Q1	BIOLOGY(SCIE)	1881-7815	1881-7823	3
BIOTECHNOLOGY ADVANCES	12.5	Q1	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	0734-9750	1873-1899	1
BIOTECHNOLOGY AND BIOENGINEERING	3.6	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	0006-3592	1097-0290	3
Biotechnology Journal	3.1	Q2	BIOCHEMICAL RESEARCH METHODS(SCIE);BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	1860-6768	1860-7314	3
BIPOLAR DISORDERS	4.5	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE);PSYCHIATRY(SCIE)	1398-5647	1399-5618	2
BJPsych Open	3.5	Q1	PSYCHIATRY(SCIE, SSCI)	2056-4724	2056-4724	3
BJS Open	4.5	Q1	SURGERY(SCIE)	2474-9842	2474-9842	3
BJU INTERNATIONAL	4.4	Q1	UROLOGY & NEPHROLOGY(SCIE)	1464-4096	1464-410X	2
BLOOD	23.1	Q1	HEMATOLOGY(SCIE)	0006-4971	1528-0020	1
Blood Advances	7.1	Q1	HEMATOLOGY(SCIE)	2473-9529	2473-9537	1
Blood and Lymphatic Cancer-Targets and Therapy	4.9	Q1	ONCOLOGY(ESCI)	1179-9889	1179-9889	2
Blood Cancer Discovery	11.5	Q1	HEMATOLOGY(ESCI);ONCOLOGY(ESCI)	2643-3230	2643-3249	1
Blood Cancer Journal	11.6	Q1	HEMATOLOGY(SCIE);ONCOLOGY(SCIE)	2044-5385	2044-5385	1
BLOOD REVIEWS	5.7	Q1	HEMATOLOGY(SCIE)	0268-960X	1532-1681	2
BMC BIOLOGY	4.5	Q1	BIOLOGY(SCIE)	N/A	1741-7007	2
BMC BIOTECHNOLOGY	3.4	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	N/A	1472-6750	2
BMC CANCER	3.4	Q2	ONCOLOGY(SCIE)	N/A	1471-2407	3
BMC Chemistry	4.6	Q2	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	N/A	2661-801X	2
BMC Complementary Medicine and Therapies	3.4	Q1	INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE)	N/A	2662-7671	3
BMC Endocrine Disorders	3.3	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	N/A	1472-6823	3
BMC GENOMICS	3.7	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	1471-2164	1471-2164	2
BMC MEDICAL IMAGING	3.2	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	1471-2342	1471-2342	3
BMC Medical Informatics and Decision Making	3.8	Q2	MEDICAL INFORMATICS(SCIE)	N/A	1472-6947	3
BMC Medicine	8.3	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	1741-7015	1741-7015	1
BMC MICROBIOLOGY	4.2	Q2	MICROBIOLOGY(SCIE)	1471-2180	1471-2180	2
BMC NURSING	3.9	Q1	NURSING(SCIE, SSCI)	1472-6955	1472-6955	2
BMC Oral Health	3.1	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	1472-6831	1472-6831	2
BMC Psychiatry	3.6	Q1	PSYCHIATRY(SCIE)	N/A	1471-244X	2
BMJ-British Medical Journal	42.7	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	0959-535X	1756-1833	1
BMJ Evidence-Based Medicine	7.6	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	2515-446X	2515-4478	2
BMJ Medicine	10	Q1	MEDICINE, GENERAL & INTERNAL(ESCI)	N/A	2754-0413	1
BMJ Mental Health	4.9	Q1	PSYCHIATRY(SCIE)	N/A	2755-9734	1
BMJ Open Diabetes Research & Care	4.1	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	N/A	2052-4897	2
BMJ Open Respiratory Research	3.4	Q2	RESPIRATORY SYSTEM(SCIE)	N/A	2052-4439	3
BMJ Open Sport & Exercise Medicine	3.2	Q1	SPORT SCIENCES(ESCI)	N/A	2055-7647	3
Body Image	5.4	Q1	PSYCHIATRY(SSCI);PSYCHOLOGY, CLINICAL(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)	1740-1445	1873-6807	1
BONE	3.6	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	8756-3282	1873-2763	2
BRAIN	11.7	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	0006-8950	1460-2156	1
Brain Behavior & Immunity-Health	3.5	Q1	IMMUNOLOGY(ESCI);NEUROSCIENCES(ESCI);PSYCHIATRY(ESCI)	2666-3546	2666-3546	3
BRAIN BEHAVIOR AND IMMUNITY	7.6	Q1	IMMUNOLOGY(SCIE);NEUROSCIENCES(SCIE);PSYCHIATRY(SCIE)	0889-1591	1090-2139	1
Brain Communications	4.5	Q1	CLINICAL NEUROLOGY(ESCI);NEUROSCIENCES(ESCI)	N/A	2632-1297	2
BRAIN PATHOLOGY	6.2	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE);PATHOLOGY(SCIE)	1015-6305	1750-3639	2
BRAIN RESEARCH BULLETIN	3.7	Q2	NEUROSCIENCES(SCIE)	0361-9230	1873-2747	3
Brain Stimulation	8.4	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	1935-861X	1876-4754	1
Breast Cancer-Targets and Therapy	3.4	Q2	ONCOLOGY(SCIE)	1179-1314	1179-1314	3
BREAST CANCER RESEARCH	5.6	Q1	ONCOLOGY(SCIE)	1465-5411	1465-542X	2
BRIEFINGS IN BIOINFORMATICS	7.7	Q1	BIOCHEMICAL RESEARCH METHODS(SCIE);MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE)	1467-5463	1477-4054	2
BRITISH JOURNAL OF ANAESTHESIA	9.2	Q1	ANESTHESIOLOGY(SCIE)	0007-0912	1471-6771	1
BRITISH JOURNAL OF CANCER	6.8	Q1	ONCOLOGY(SCIE)	0007-0920	1532-1827	2
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY	3.1	Q1	PSYCHOLOGY, CLINICAL(SSCI)	0144-6657	2044-8260	3
BRITISH JOURNAL OF DERMATOLOGY	9.6	Q1	DERMATOLOGY(SCIE)	0007-0963	1365-2133	1
BRITISH JOURNAL OF GENERAL PRACTICE	5.2	Q1	MEDICINE, GENERAL & INTERNAL(SCIE);PRIMARY HEALTH CARE(SCIE)	0960-1643	1478-5242	2
BRITISH JOURNAL OF HAEMATOLOGY	3.8	Q1	HEMATOLOGY(SCIE)	0007-1048	1365-2141	2
BRITISH JOURNAL OF OPHTHALMOLOGY	3.5	Q1	OPHTHALMOLOGY(SCIE)	0007-1161	1468-2079	2
BRITISH JOURNAL OF PHARMACOLOGY	7.7	Q1	PHARMACOLOGY & PHARMACY(SCIE)	0007-1188	1476-5381	2
BRITISH JOURNAL OF PSYCHIATRY	7.6	Q1	PSYCHIATRY(SCIE, SSCI)	0007-1250	1472-1465	1
BRITISH JOURNAL OF PSYCHOLOGY	3.3	Q1	PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)	0007-1269	2044-8295	2
BRITISH JOURNAL OF SPORTS MEDICINE	16.2	Q1	SPORT SCIENCES(SCIE)	0306-3674	1473-0480	1
BRITISH MEDICAL BULLETIN	5.2	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	0007-1420	1471-8391	2
Burns & Trauma	9.6	Q1	DERMATOLOGY(SCIE);EMERGENCY MEDICINE(SCIE);SURGERY(SCIE)	2321-3868	2321-3876	2
CA-A CANCER JOURNAL FOR CLINICIANS	232.4	Q1	ONCOLOGY(SCIE)	0007-9235	1542-4863	1
CAAI Transactions on Intelligence Technology	7.3	Q1	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)	2468-6557	2468-2322	1
CALCIFIED TISSUE INTERNATIONAL	3.2	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	0171-967X	1432-0827	3
CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES	3.7	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	0846-5371	1488-2361	3
Canadian Journal of Anesthesia-Journal canadien d anesthesie	3.3	Q1	ANESTHESIOLOGY(SCIE)	0832-610X	1496-8975	3
CANADIAN JOURNAL OF CARDIOLOGY	5.3	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	0828-282X	1916-7075	2
CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE	3.8	Q1	PSYCHIATRY(SCIE, SSCI)	0706-7437	1497-0015	3
CANADIAN MEDICAL ASSOCIATION JOURNAL	11.3	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	0820-3946	1488-2329	1
CANCER	5.1	Q1	ONCOLOGY(SCIE)	0008-543X	1097-0142	1
Cancer & Metabolism	5.3	Q1	CELL BIOLOGY(SCIE);ONCOLOGY(SCIE)	N/A	2049-3002	2
CANCER AND METASTASIS REVIEWS	8.7	Q1	ONCOLOGY(SCIE)	0167-7659	1573-7233	2
Cancer Biology & Medicine	8.4	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);ONCOLOGY(SCIE)	2095-3941	2095-3941	2
CANCER BIOLOGY & THERAPY	4.6	Q1	ONCOLOGY(SCIE)	1538-4047	1555-8576	2
CANCER CELL	44.5	Q1	CELL BIOLOGY(SCIE);ONCOLOGY(SCIE)	1535-6108	1878-3686	1
Cancer Cell International	6	Q1	ONCOLOGY(SCIE)	N/A	1475-2867	3
Cancer Communications	24.9	Q1	ONCOLOGY(SCIE)	N/A	2523-3548	1
CANCER CYTOPATHOLOGY	3.2	Q2	ONCOLOGY(SCIE);PATHOLOGY(SCIE)	1934-662X	1934-6638	3
Cancer Discovery	33.3	Q1	ONCOLOGY(SCIE)	2159-8274	2159-8290	1
CANCER GENE THERAPY	5	Q1	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);GENETICS & HEREDITY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);ONCOLOGY(SCIE)	0929-1903	1476-5500	3
CANCER IMAGING	3.5	Q1	ONCOLOGY(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	1740-5025	1470-7330	2
CANCER IMMUNOLOGY IMMUNOTHERAPY	5.1	Q1	IMMUNOLOGY(SCIE);ONCOLOGY(SCIE)	0340-7004	1432-0851	3
Cancer Immunology Research	8.2	Q1	IMMUNOLOGY(SCIE);ONCOLOGY(SCIE)	2326-6066	2326-6074	1
CANCER LETTERS	10.1	Q1	ONCOLOGY(SCIE)	0304-3835	1872-7980	1
Cancer Medicine	3.1	Q2	ONCOLOGY(SCIE)	2045-7634	2045-7634	3
Cancer Nanotechnology	4.8	Q1	NANOSCIENCE & NANOTECHNOLOGY(SCIE);ONCOLOGY(SCIE)	1868-6958	1868-6966	3
CANCER RESEARCH	16.6	Q1	ONCOLOGY(SCIE)	0008-5472	1538-7445	1
Cancer Research and Treatment	3.8	Q2	ONCOLOGY(SCIE)	1598-2998	2005-9256	2
CANCER SCIENCE	4.3	Q2	ONCOLOGY(SCIE)	1347-9032	1349-7006	2
CANCER TREATMENT REVIEWS	10.5	Q1	ONCOLOGY(SCIE)	0305-7372	1532-1967	1
Cancers	4.4	Q2	ONCOLOGY(SCIE)	N/A	2072-6694	3
Cardiac Failure Review	5.7	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(ESCI)	2057-7540	2057-7559	2
Cardio-Oncology	3.2	Q2	CARDIAC & CARDIOVASCULAR SYSTEMS(ESCI);ONCOLOGY(ESCI)	N/A	2057-3804	3
Cardiovascular Diabetology	10.6	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);ENDOCRINOLOGY & METABOLISM(SCIE)	N/A	1475-2840	1
CARDIOVASCULAR DRUGS AND THERAPY	3.1	Q2	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	0920-3206	1573-7241	3
Cardiovascular Intervention and Therapeutics	5.8	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(ESCI)	1868-4300	1868-4297	3
CARDIOVASCULAR RESEARCH	13.3	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	0008-6363	1755-3245	1
Cardiovascular Therapeutics	3.4	Q2	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	1755-5914	1755-5922	3
Case Studies in Thermal Engineering	6.4	Q1	THERMODYNAMICS(SCIE)	2214-157X	2214-157X	2
CCS Chemistry	9.2	Q1	CHEMISTRY, MULTIDISCIPLINARY(ESCI)	N/A	2096-5745	1
CELL	42.5	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	0092-8674	1097-4172	1
Cell and Bioscience	6.2	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	N/A	2045-3701	2
CELL BIOLOGY AND TOXICOLOGY	5.9	Q1	CELL BIOLOGY(SCIE);TOXICOLOGY(SCIE)	0742-2091	1573-6822	3
CELL CALCIUM	4	Q1	CELL BIOLOGY(SCIE);PHYSIOLOGY(SCIE)	0143-4160	1532-1991	2
Cell Chemical Biology	7.2	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	2451-9456	2451-9448	1
Cell Communication and Signaling	8.9	Q1	CELL BIOLOGY(SCIE)	N/A	1478-811X	2
Cell Death & Disease	9.6	Q1	CELL BIOLOGY(SCIE)	2041-4889	2041-4889	1
CELL DEATH AND DIFFERENTIATION	15.4	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	1350-9047	1476-5403	1
Cell Death Discovery	7	Q1	CELL BIOLOGY(SCIE)	N/A	2058-7716	2
Cell Discovery	12.5	Q1	CELL BIOLOGY(SCIE)	N/A	2056-5968	1
Cell Genomics	9	Q1	CELL BIOLOGY(ESCI);GENETICS & HEREDITY(ESCI)	2666-979X	2666-979X	1
Cell Host & Microbe	18.7	Q1	MICROBIOLOGY(SCIE);PARASITOLOGY(SCIE);VIROLOGY(SCIE)	1931-3128	1934-6069	1
Cell Metabolism	30.9	Q1	CELL BIOLOGY(SCIE);ENDOCRINOLOGY & METABOLISM(SCIE)	1550-4131	1932-7420	1
CELL PROLIFERATION	5.6	Q2	CELL BIOLOGY(SCIE)	0960-7722	1365-2184	1
Cell Reports	6.9	Q1	CELL BIOLOGY(SCIE)	2211-1247	2211-1247	1
Cell Reports Medicine	10.6	Q1	CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	2666-3791	2666-3791	1
Cell Reports Methods	4.5	Q1	BIOCHEMICAL RESEARCH METHODS(ESCI);CELL BIOLOGY(ESCI)	2667-2375	2667-2375	3
CELL RESEARCH	25.9	Q1	CELL BIOLOGY(SCIE)	1001-0602	1748-7838	1
Cell Systems	7.7	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	2405-4712	2405-4720	1
Cells	5.2	Q2	CELL BIOLOGY(SCIE)	N/A	2073-4409	2
CELLULAR & MOLECULAR BIOLOGY LETTERS	10.2	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	1425-8153	1689-1392	1
Cellular & Molecular Immunology	19.8	Q1	IMMUNOLOGY(SCIE)	1672-7681	2042-0226	1
Cellular and Molecular Gastroenterology and Hepatology	7.4	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	2352-345X	2352-345X	1
CELLULAR AND MOLECULAR LIFE SCIENCES	6.2	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	1420-682X	1420-9071	2
CELLULAR ONCOLOGY	4.8	Q1	CELL BIOLOGY(SCIE);ONCOLOGY(SCIE);PATHOLOGY(SCIE)	2211-3428	2211-3436	2
CELLULAR SIGNALLING	3.7	Q2	CELL BIOLOGY(SCIE)	0898-6568	1873-3913	2
CEPHALALGIA	4.6	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	0333-1024	1468-2982	2
Channels	3.2	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	1933-6950	1933-6969	3
Chem	19.6	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	2451-9294	2451-9294	1
CHEMICAL COMMUNICATIONS	4.2	Q2	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	1359-7345	1364-548X	2
CHEMICAL RECORD	7.5	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	1527-8999	1528-0691	2
CHEMICAL RESEARCH IN TOXICOLOGY	3.8	Q2	CHEMISTRY, MEDICINAL(SCIE);CHEMISTRY, MULTIDISCIPLINARY(SCIE);TOXICOLOGY(SCIE)	0893-228X	1520-5010	3
CHEMICAL REVIEWS	55.8	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	0009-2665	1520-6890	1
Chemical Science	7.4	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	2041-6520	2041-6539	1
CHEMICAL SOCIETY REVIEWS	39	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	0306-0012	1460-4744	1
CHEMICO-BIOLOGICAL INTERACTIONS	5.4	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE);TOXICOLOGY(SCIE)	0009-2797	1872-7786	2
CHEMISTRY-A EUROPEAN JOURNAL	3.7	Q2	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	0947-6539	1521-3765	3
Chemistry-An Asian Journal	3.3	Q2	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	1861-4728	1861-471X	3
ChemSusChem	6.6	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)	1864-5631	1864-564X	2
ChemSystemsChem	3.1	Q2	CHEMISTRY, MULTIDISCIPLINARY(ESCI)	N/A	2570-4206	3
ChemTexts	5.7	Q1	CHEMISTRY, MULTIDISCIPLINARY(ESCI)	2199-3793	2199-3793	3
CHEST	8.6	Q1	CRITICAL CARE MEDICINE(SCIE);RESPIRATORY SYSTEM(SCIE)	0012-3692	1931-3543	1
Child and Adolescent Mental Health	5	Q1	PEDIATRICS(SCIE);PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY, CLINICAL(SSCI)	1475-357X	1475-3588	3
Child and Adolescent Psychiatry and Mental Health	4.6	Q1	PEDIATRICS(SCIE);PSYCHIATRY(SCIE, SSCI)	N/A	1753-2000	2
Child Development Perspectives	5.3	Q1	PSYCHOLOGY, DEVELOPMENTAL(SSCI)	1750-8592	1750-8606	1
CHINA JOURNAL	3.4	Q1	AREA STUDIES(SSCI)	1324-9347	1835-8535	2
CHINESE CHEMICAL LETTERS	8.9	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	1001-8417	1878-5964	1
Chinese Herbal Medicines	8.9	Q1	CHEMISTRY, MEDICINAL(ESCI)	1674-6384	1674-6384	2
Chinese Journal of Cancer Research	6.3	Q1	ONCOLOGY(SCIE)	1000-9604	1993-0631	2
CHINESE JOURNAL OF CHEMISTRY	5.5	Q2	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	1001-604X	1614-7065	1
Chinese Journal of Natural Medicines	4.9	Q1	INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	2095-6975	1875-5364	2
CHINESE MEDICAL JOURNAL	7.3	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	0366-6999	2542-5641	2
Chinese Medicine	5.7	Q1	INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	1749-8546	1749-8546	2
CIRCULATION	38.6	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE)	0009-7322	1524-4539	1
Circulation-Arrhythmia and Electrophysiology	9.8	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1941-3149	1941-3084	1
Circulation-Cardiovascular Imaging	7	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	1941-9651	1942-0080	1
Circulation-Cardiovascular Interventions	7.4	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1941-7640	1941-7632	1
Circulation-Cardiovascular Quality and Outcomes	6.7	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1941-7705	1941-7713	1
Circulation-Genomic and Precision Medicine	5.5	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);GENETICS & HEREDITY(SCIE)	2574-8300	2574-8300	2
Circulation-Heart Failure	8.4	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1941-3289	1941-3297	1
CIRCULATION JOURNAL	3.7	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1346-9843	1347-4820	3
CIRCULATION RESEARCH	16.2	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);HEMATOLOGY(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE)	0009-7330	1524-4571	1
CLEVELAND CLINIC JOURNAL OF MEDICINE	4.1	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	0891-1150	1939-2869	3
CLINICAL & EXPERIMENTAL METASTASIS	3.2	Q2	ONCOLOGY(SCIE)	0262-0898	1573-7276	3
Clinical & Translational Immunology	3.8	Q2	IMMUNOLOGY(SCIE)	N/A	2050-0068	3
CLINICAL AND EXPERIMENTAL ALLERGY	5.2	Q1	ALLERGY(SCIE);IMMUNOLOGY(SCIE)	0954-7894	1365-2222	2
CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	5.6	Q1	OPHTHALMOLOGY(SCIE)	1442-6404	1442-9071	2
Clinical and Experimental Otorhinolaryngology	3.4	Q1	OTORHINOLARYNGOLOGY(SCIE)	1976-8710	2005-0720	3
Clinical and Experimental Pediatrics	3.6	Q1	PEDIATRICS(ESCI)	N/A	2713-4148	3
